"pattern","n","percent","lower","upper"
"None of three",12999,75.6907845397328,74.1558237826047,77.2257452968609
"Seriously considered only",1112,6.1281605605983,5.58520656180678,6.67111455938983
"Make a plan only",560,3.06030021509176,2.60337417111175,3.51722625907178
"Seriously considered + Make a plan",1105,5.92393474491874,5.23630154849369,6.61156794134378
"Attempted only",198,0.963042294226966,0.67099189345994,1.25509269499399
"Seriously considered + Attempted",238,1.32342802238974,1.03168646393281,1.61516958084667
"Make a plan + Attempted",87,0.370919218145327,0.224747465651244,0.51709097063941
"All three",1304,6.53943040489639,5.728420700636,7.35044010915678
